name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,1.2612612612612611e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.2712712712712712e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.2812812812812813e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.2912912912912913e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3013013013013014e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3113113113113112e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3213213213213212e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3313313313313313e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3413413413413414e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3513513513513514e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3613613613613612e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3713713713713713e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3813813813813813e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.3913913913913914e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4014014014014015e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4114114114114115e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4214214214214213e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4314314314314314e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4414414414414414e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4514514514514515e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
branch0_seg0,1.4614614614614616e-01,1.7490000000000001e+02,1.7490000000002297e+02,2.9073302036570662e+04,2.9019580333032172e+04
